Pixel X	Pixel Y	X, мм	Y, мм	Энергия, кэВ

5000	0	0	-50	0
5000	1	0	-49,99	301741,118583215
5000	2	0	-49,98	305209,827743966
5000	3	0	-49,97	301742,735692705
5000	4	0	-49,96	310457,34023577
5000	5	0	-49,95	286490,036352254
5000	6	0	-49,94	237578,350017382
5000	7	0	-49,93	305658,7691227
5000	8	0	-49,92	256639,755572773
5000	9	0	-49,91	276787,987903916
5000	10	0	-49,9	289393,342079932
5000	11	0	-49,89	287373,865746327
5000	12	0	-49,88	274028,799714288
5000	13	0	-49,87	266292,658040299
5000	14	0	-49,86	300034,517691495
5000	15	0	-49,85	310423,345320404
5000	16	0	-49,84	262497,42197
5000	17	0	-49,83	306353,223858809
5000	18	0	-49,82	288365,972048977
5000	19	0	-49,81	287882,33884514
5000	20	0	-49,8	243667,974549288
5000	21	0	-49,79	267064,378325585
5000	22	0	-49,78	305400,094722661
5000	23	0	-49,77	369170,821648901
5000	24	0	-49,76	311044,710570177
5000	25	0	-49,75	304377,615883612
5000	26	0	-49,74	324613,217587793
5000	27	0	-49,73	331144,308028558
5000	28	0	-49,72	321445,818115873
5000	29	0	-49,71	317546,342142253
5000	30	0	-49,7	289359,245581753
5000	31	0	-49,69	276154,393618022
5000	32	0	-49,68	255202,069407528
5000	33	0	-49,67	283159,410373551
5000	34	0	-49,66	223548,198574624
5000	35	0	-49,65	252223,51733082
5000	36	0	-49,64	236440,49272914
5000	37	0	-49,63	225589,158139148
5000	38	0	-49,62	237620,426881735
5000	39	0	-49,61	239733,869396689
5000	40	0	-49,6	262586,346443783
5000	41	0	-49,59	315318,475183023
5000	42	0	-49,58	322933,427114354
5000	43	0	-49,57	301906,142207194
5000	44	0	-49,56	292292,344334756
5000	45	0	-49,55	302581,654474624
5000	46	0	-49,54	248056,873595846
5000	47	0	-49,53	281592,39175763
5000	48	0	-49,52	240977,63800483
5000	49	0	-49,51	226278,028359382
5000	50	0	-49,5	236074,777536352
5000	51	0	-49,49	276184,177315486
5000	52	0	-49,48	265202,954746674
5000	53	0	-49,47	249721,11441529
5000	54	0	-49,46	268529,236688939
5000	55	0	-49,45	284793,928198776
5000	56	0	-49,44	287441,611494111
5000	57	0	-49,43	298453,080482652
5000	58	0	-49,42	301351,294534182
5000	59	0	-49,41	285204,586757493
5000	60	0	-49,4	265834,739528985
5000	61	0	-49,39	269832,807266721
5000	62	0	-49,38	281852,423991636
5000	63	0	-49,37	346523,945403864
5000	64	0	-49,36	365139,495462802
5000	65	0	-49,35	330124,085917069
5000	66	0	-49,34	332597,172936925
5000	67	0	-49,33	324720,287111043
5000	68	0	-49,32	323788,433731168
5000	69	0	-49,31	321282,789089464
5000	70	0	-49,3	313254,37956949
5000	71	0	-49,29	299826,945439811
5000	72	0	-49,28	276570,493100136
5000	73	0	-49,27	254255,845372394
5000	74	0	-49,26	263204,333564921
5000	75	0	-49,25	252722,713141585
5000	76	0	-49,24	260555,682257506
5000	77	0	-49,23	234386,788572563
5000	78	0	-49,22	242268,212009769
5000	79	0	-49,21	249917,861755741
5000	80	0	-49,2	252650,113178676
5000	81	0	-49,19	263009,792370193
5000	82	0	-49,18	311114,34077036
5000	83	0	-49,17	331959,953159827
5000	84	0	-49,16	296997,89132968
5000	85	0	-49,15	284414,416902983
5000	86	0	-49,14	311602,979084674
5000	87	0	-49,13	244067,358472653
5000	88	0	-49,12	285584,772843327
5000	89	0	-49,11	219148,017061546
5000	90	0	-49,1	243121,321239351
5000	91	0	-49,09	243060,008746599
5000	92	0	-49,08	271510,018436321
5000	93	0	-49,07	270388,606061351
5000	94	0	-49,06	270451,828524948
5000	95	0	-49,05	299351,362162389
5000	96	0	-49,04	323377,253138326
5000	97	0	-49,03	317691,628219634
5000	98	0	-49,02	335586,330900285
5000	99	0	-49,01	315556,436203205
5000	100	0	-49	300753,204446144
5000	101	0	-48,99	249693,075682134
5000	102	0	-48,98	267510,903778735
5000	103	0	-48,97	272826,712601786
5000	104	0	-48,96	345011,513686041
5000	105	0	-48,95	347620,666466378
5000	106	0	-48,94	332449,421044137
5000	107	0	-48,93	319514,329250638
5000	108	0	-48,92	353032,010458383
5000	109	0	-48,91	351697,599398135
5000	110	0	-48,9	347405,322861679
5000	111	0	-48,89	324975,442389853
5000	112	0	-48,88	335170,321460487
5000	113	0	-48,87	297129,463469657
5000	114	0	-48,86	324663,142545119
5000	115	0	-48,85	259525,963258541
5000	116	0	-48,84	279998,254758157
5000	117	0	-48,83	250164,231954598
5000	118	0	-48,82	253123,345366264
5000	119	0	-48,81	257978,084617248
5000	120	0	-48,8	229939,593723839
5000	121	0	-48,79	260836,82143745
5000	122	0	-48,78	307520,414425456
5000	123	0	-48,77	335328,754721667
5000	124	0	-48,76	352355,697631893
5000	125	0	-48,75	322624,119016189
5000	126	0	-48,74	321974,021417576
5000	127	0	-48,73	296907,325192278
5000	128	0	-48,72	289501,614863949
5000	129	0	-48,71	317808,366124253
5000	130	0	-48,7	289390,862403543
5000	131	0	-48,69	276078,42860634
5000	132	0	-48,68	276410,965149978
5000	133	0	-48,67	269330,187217996
5000	134	0	-48,66	262955,902602506
5000	135	0	-48,65	283061,309159175
5000	136	0	-48,64	251796,83492076
5000	137	0	-48,63	276935,021927203
5000	138	0	-48,62	287771,713890036
5000	139	0	-48,61	333609,343582629
5000	140	0	-48,6	316065,481275065
5000	141	0	-48,59	303091,906045492
5000	142	0	-48,58	265768,618090379
5000	143	0	-48,57	273728,310300818
5000	144	0	-48,56	325225,862552636
5000	145	0	-48,55	387231,915023052
5000	146	0	-48,54	361540,041118464
5000	147	0	-48,53	352022,01406157
5000	148	0	-48,52	357484,904057954
5000	149	0	-48,51	381993,73994249
5000	150	0	-48,5	372141,800457073
5000	151	0	-48,49	368967,048498906
5000	152	0	-48,48	370023,212003114
5000	153	0	-48,47	347764,936327177
5000	154	0	-48,46	315072,318062386
5000	155	0	-48,45	326056,692642964
5000	156	0	-48,44	280285,81721314
5000	157	0	-48,43	274068,601688489
5000	158	0	-48,42	244883,764678439
5000	159	0	-48,41	267904,843827305
5000	160	0	-48,4	254006,699299217
5000	161	0	-48,39	253460,144383553
5000	162	0	-48,38	281385,373884066
5000	163	0	-48,37	351646,646250347
5000	164	0	-48,36	391660,288302021
5000	165	0	-48,35	347323,012591734
5000	166	0	-48,34	301318,336761416
5000	167	0	-48,33	346767,285826192
5000	168	0	-48,32	293667,156172543
5000	169	0	-48,31	338344,756984266
5000	170	0	-48,3	283646,841806609
5000	171	0	-48,29	278587,604012248
5000	172	0	-48,28	271428,295246981
5000	173	0	-48,27	274274,9161191
5000	174	0	-48,26	259143,126636752
5000	175	0	-48,25	242335,414544867
5000	176	0	-48,24	236526,728601038
5000	177	0	-48,23	271552,212998439
5000	178	0	-48,22	309350,042353106
5000	179	0	-48,21	336706,409638173
5000	180	0	-48,2	346321,627259616
5000	181	0	-48,19	328647,603769666
5000	182	0	-48,18	296809,146908626
5000	183	0	-48,17	338583,219995832
5000	184	0	-48,16	316522,399226395
5000	185	0	-48,15	402684,839750933
5000	186	0	-48,14	407669,929389632
5000	187	0	-48,13	371881,135458585
5000	188	0	-48,12	365005,845593099
5000	189	0	-48,11	378712,113741311
5000	190	0	-48,1	380629,877124405
5000	191	0	-48,09	379541,945252187
5000	192	0	-48,08	356383,882055882
5000	193	0	-48,07	360329,79261605
5000	194	0	-48,06	331310,59692622
5000	195	0	-48,05	338430,970448832
5000	196	0	-48,04	319367,102106897
5000	197	0	-48,03	303020,423522759
5000	198	0	-48,02	264534,32142132
5000	199	0	-48,01	263823,816270523
5000	200	0	-48	277115,996235742
5000	201	0	-47,99	264570,667512146
5000	202	0	-47,98	280235,160337611
5000	203	0	-47,97	315399,211503313
5000	204	0	-47,96	362419,382972297
5000	205	0	-47,95	386678,408449869
5000	206	0	-47,94	368540,651822289
5000	207	0	-47,93	350998,151443563
5000	208	0	-47,92	338756,237065573
5000	209	0	-47,91	280578,727664255
5000	210	0	-47,9	366762,766540179
5000	211	0	-47,89	307830,821465388
5000	212	0	-47,88	295773,247598139
5000	213	0	-47,87	293411,782153411
5000	214	0	-47,86	277663,520964854
5000	215	0	-47,85	252680,254027268
5000	216	0	-47,84	245411,783881127
5000	217	0	-47,83	257608,000764021
5000	218	0	-47,82	278724,644199984
5000	219	0	-47,81	253772,107970135
5000	220	0	-47,8	338158,531868075
5000	221	0	-47,79	332911,241559281
5000	222	0	-47,78	334000,669931766
5000	223	0	-47,77	295187,768488561
5000	224	0	-47,76	285036,768358842
5000	225	0	-47,75	318377,865807216
5000	226	0	-47,74	408773,067036611
5000	227	0	-47,73	370046,565500303
5000	228	0	-47,72	363768,447706105
5000	229	0	-47,71	363269,616853021
5000	230	0	-47,7	384853,881237012
5000	231	0	-47,69	348204,4907589
5000	232	0	-47,68	361584,082059973
5000	233	0	-47,67	350849,20827886
5000	234	0	-47,66	321100,375272548
5000	235	0	-47,65	266496,835082452
5000	236	0	-47,64	293798,452408442
5000	237	0	-47,63	267163,648350867
5000	238	0	-47,62	279816,02777181
5000	239	0	-47,61	256189,979958096
5000	240	0	-47,6	298508,442383865
5000	241	0	-47,59	278508,366130928
5000	242	0	-47,58	266140,771646824
5000	243	0	-47,57	308480,776574408
5000	244	0	-47,56	374236,208205014
5000	245	0	-47,55	392994,239559811
5000	246	0	-47,54	341998,671512833
5000	247	0	-47,53	284228,477468026
5000	248	0	-47,52	296010,89244772
5000	249	0	-47,51	253281,266810051
5000	250	0	-47,5	294175,2446855
5000	251	0	-47,49	291934,192722012
5000	252	0	-47,48	276485,871567467
5000	253	0	-47,47	273940,599810111
5000	254	0	-47,46	276693,298248208
5000	255	0	-47,45	253309,793505657
5000	256	0	-47,44	242335,414650198
5000	257	0	-47,43	236526,74955783
5000	258	0	-47,42	242714,969859427
5000	259	0	-47,41	263719,015005316
5000	260	0	-47,4	279119,29380547
5000	261	0	-47,39	304139,321280894
5000	262	0	-47,38	296305,544188931
5000	263	0	-47,37	273642,867683263
5000	264	0	-47,36	309245,533617172
5000	265	0	-47,35	298549,034349037
5000	266	0	-47,34	367601,506033689
5000	267	0	-47,33	421613,85028704
5000	268	0	-47,32	382478,20475174
5000	269	0	-47,31	370469,639655252
5000	270	0	-47,3	367507,154848472
5000	271	0	-47,29	367161,783284653
5000	272	0	-47,28	362158,223626409
5000	273	0	-47,27	369934,161945706
5000	274	0	-47,26	351590,401872112
5000	275	0	-47,25	329948,461789717
5000	276	0	-47,24	283156,058122847
5000	277	0	-47,23	275220,074681568
5000	278	0	-47,22	262268,401667476
5000	279	0	-47,21	264437,837244294
5000	280	0	-47,2	270852,107589993
5000	281	0	-47,19	285050,87593048
5000	282	0	-47,18	278820,667515823
5000	283	0	-47,17	287052,783762344
5000	284	0	-47,16	329372,929757005
5000	285	0	-47,15	348718,540308363
5000	286	0	-47,14	364948,241400344
5000	287	0	-47,13	317320,467664219
5000	288	0	-47,12	243559,370152915
5000	289	0	-47,11	297476,929194022
5000	290	0	-47,1	263240,130635168
5000	291	0	-47,09	312683,452111629
5000	292	0	-47,08	281103,290581532
5000	293	0	-47,07	293267,267505784
5000	294	0	-47,06	283156,008818382
5000	295	0	-47,05	284435,809978381
